Grade,Grade Serial,Subject,Subject Serial,Concatenate 1,Concatenate 2
5 SD,CMP-16YQSVLR,Bahasa Inggris,Node-148SW42W,5 SD|Bahasa Inggris,CMP-16YQSVLR#Node-148SW42W
5 SD,CMP-16YQSVLR,PKN,Node-GFQ79GPR,5 SD|PKN,CMP-16YQSVLR#Node-GFQ79GPR
5 SD,CMP-16YQSVLR,IPAS IPS,Node-EGELMGLR,5 SD|IPAS IPS,CMP-16YQSVLR#Node-EGELMGLR
5 SD,CMP-16YQSVLR,IPAS IPA,Node-N38HFOCS,5 SD|IPAS IPA,CMP-16YQSVLR#Node-N38HFOCS
6 SD,CMP-3HECDAST,Matematika,Node-5IQNAWAX,6 SD|Matematika,CMP-3HECDAST#Node-5IQNAWAX
6 SD,CMP-3HECDAST,IPAS IPS,Node-QLQWVDMI,6 SD|IPAS IPS,CMP-3HECDAST#Node-QLQWVDMI
6 SD,CMP-3HECDAST,IPAS IPA,Node-VTAJUWMB,6 SD|IPAS IPA,CMP-3HECDAST#Node-VTAJUWMB
6 SD,CMP-3HECDAST,Bahasa Indonesia,Node-0XSYDSVS,6 SD|Bahasa Indonesia,CMP-3HECDAST#Node-0XSYDSVS
6 SD,CMP-3HECDAST,Bahasa Inggris,Node-BTTJEY26,6 SD|Bahasa Inggris,CMP-3HECDAST#Node-BTTJEY26
7 SMP,CMP-ACP6JBD3,Matematika,Node-FYR0BZWL,7 SMP|Matematika,CMP-ACP6JBD3#Node-FYR0BZWL
7 SMP,CMP-ACP6JBD3,IPA Bio,Node-SP1NO1UA,7 SMP|IPA Bio,CMP-ACP6JBD3#Node-SP1NO1UA
7 SMP,CMP-ACP6JBD3,IPA Fis,Node-Q9D43XQ0,7 SMP|IPA Fis,CMP-ACP6JBD3#Node-Q9D43XQ0
7 SMP,CMP-ACP6JBD3,IPS Eko,Node-L9MDBH61,7 SMP|IPS Eko,CMP-ACP6JBD3#Node-L9MDBH61
7 SMP,CMP-ACP6JBD3,IPS Sos,Node-LS3ZY3TC,7 SMP|IPS Sos,CMP-ACP6JBD3#Node-LS3ZY3TC
7 SMP,CMP-ACP6JBD3,IPS Geo,Node-WEBOKIZI,7 SMP|IPS Geo,CMP-ACP6JBD3#Node-WEBOKIZI
7 SMP,CMP-ACP6JBD3,IPS Sej,Node-V5PZME5K,7 SMP|IPS Sej,CMP-ACP6JBD3#Node-V5PZME5K
7 SMP,CMP-ACP6JBD3,Bahasa Indonesia,Node-ZHK1T70J,7 SMP|Bahasa Indonesia,CMP-ACP6JBD3#Node-ZHK1T70J
7 SMP,CMP-ACP6JBD3,Bahasa Inggris,Node-07XS2EPV,7 SMP|Bahasa Inggris,CMP-ACP6JBD3#Node-07XS2EPV
7 SMP,CMP-ACP6JBD3,PKN,Node-3XUJ3112,7 SMP|PKN,CMP-ACP6JBD3#Node-3XUJ3112
7 SMP,CMP-ACP6JBD3,Informatika,Node-6HA6K2LS,7 SMP|Informatika,CMP-ACP6JBD3#Node-6HA6K2LS
8 SMP,CMP-EKUITRFU,Matematika,Node-VE7XB8RN,8 SMP|Matematika,CMP-EKUITRFU#Node-VE7XB8RN
8 SMP,CMP-EKUITRFU,Bahasa Indonesia,Node-X9ACASGP,8 SMP|Bahasa Indonesia,CMP-EKUITRFU#Node-X9ACASGP
8 SMP,CMP-EKUITRFU,Bahasa Inggris,Node-6VPO0MHG,8 SMP|Bahasa Inggris,CMP-EKUITRFU#Node-6VPO0MHG
8 SMP,CMP-EKUITRFU,IPA Bio,Node-NPDK29TH,8 SMP|IPA Bio,CMP-EKUITRFU#Node-NPDK29TH
8 SMP,CMP-EKUITRFU,IPA Fis,Node-80U1V4ES,8 SMP|IPA Fis,CMP-EKUITRFU#Node-80U1V4ES
8 SMP,CMP-EKUITRFU,IPS Eko,Node-TCYFFDJ5,8 SMP|IPS Eko,CMP-EKUITRFU#Node-TCYFFDJ5
8 SMP,CMP-EKUITRFU,IPS Sos,Node-AS22465K,8 SMP|IPS Sos,CMP-EKUITRFU#Node-AS22465K
8 SMP,CMP-EKUITRFU,IPS Geo,Node-GSZ4EQ4F,8 SMP|IPS Geo,CMP-EKUITRFU#Node-GSZ4EQ4F
8 SMP,CMP-EKUITRFU,IPS Sej,Node-EL52W4CW,8 SMP|IPS Sej,CMP-EKUITRFU#Node-EL52W4CW
8 SMP,CMP-EKUITRFU,PKN,Node-KCQLLRRS,8 SMP|PKN,CMP-EKUITRFU#Node-KCQLLRRS
8 SMP,CMP-EKUITRFU,Informatika,Node-XIAS1VH6,8 SMP|Informatika,CMP-EKUITRFU#Node-XIAS1VH6
9 SMP,CMP-KGUAFUXP,Matematika,Node-RW2816MU,9 SMP|Matematika,CMP-KGUAFUXP#Node-RW2816MU
9 SMP,CMP-KGUAFUXP,Bahasa Indonesia,Node-KP5LNQXZ,9 SMP|Bahasa Indonesia,CMP-KGUAFUXP#Node-KP5LNQXZ
9 SMP,CMP-KGUAFUXP,Bahasa Inggris,Node-JPKQ78F1,9 SMP|Bahasa Inggris,CMP-KGUAFUXP#Node-JPKQ78F1
9 SMP,CMP-KGUAFUXP,IPA Bio,Node-OWZ5OJ7K,9 SMP|IPA Bio,CMP-KGUAFUXP#Node-OWZ5OJ7K
9 SMP,CMP-KGUAFUXP,IPA Fis,Node-PC0UD1FS,9 SMP|IPA Fis,CMP-KGUAFUXP#Node-PC0UD1FS
9 SMP,CMP-KGUAFUXP,IPS Eko,Node-4JELUBVS,9 SMP|IPS Eko,CMP-KGUAFUXP#Node-4JELUBVS
9 SMP,CMP-KGUAFUXP,IPS Sos,Node-KDDR7OVM,9 SMP|IPS Sos,CMP-KGUAFUXP#Node-KDDR7OVM
9 SMP,CMP-KGUAFUXP,IPS Geo,Node-X4CH0NOQ,9 SMP|IPS Geo,CMP-KGUAFUXP#Node-X4CH0NOQ
9 SMP,CMP-KGUAFUXP,IPS Sej,Node-YM5F7RHC,9 SMP|IPS Sej,CMP-KGUAFUXP#Node-YM5F7RHC
9 SMP,#N/A,PKN,#N/A,9 SMP|PKN,#N/A
9 SMP,#N/A,Informatika,#N/A,9 SMP|Informatika,#N/A
10 SMA IPA,Node-5TQWRSAV,Matematika,Node-3S3G02X1,10 SMA IPA|Matematika,Node-5TQWRSAV#Node-3S3G02X1
10 SMA IPS,Node-5TQWRSAV,Matematika,Node-3S3G02X1,10 SMA IPS|Matematika,Node-5TQWRSAV#Node-3S3G02X1
10 SMA IPA,Node-5TQWRSAV,Fisika,Node-5N74IWMX,10 SMA IPA|Fisika,Node-5TQWRSAV#Node-5N74IWMX
10 SMA IPA,Node-5TQWRSAV,Kimia,Node-1S19BL3Z,10 SMA IPA|Kimia,Node-5TQWRSAV#Node-1S19BL3Z
10 SMA IPA,Node-5TQWRSAV,Biologi,Node-Q6SZAH8U,10 SMA IPA|Biologi,Node-5TQWRSAV#Node-Q6SZAH8U
10 SMA IPA IPS,Node-5TQWRSAV,Bahasa Indonesia,Node-WX4FHQ3V,10 SMA IPA IPS|Bahasa Indonesia,Node-5TQWRSAV#Node-WX4FHQ3V
10 SMA IPA IPS,Node-5TQWRSAV,Bahasa Inggris,Node-BUS53NQ4,10 SMA IPA IPS|Bahasa Inggris,Node-5TQWRSAV#Node-BUS53NQ4
10 SMA IPS,Node-5TQWRSAV,Ekonomi,Node-PIK39PWA,10 SMA IPS|Ekonomi,Node-5TQWRSAV#Node-PIK39PWA
10 SMA IPS,Node-5TQWRSAV,Geografi,Node-BK9JAOGJ,10 SMA IPS|Geografi,Node-5TQWRSAV#Node-BK9JAOGJ
10 SMA IPS,Node-5TQWRSAV,Sosiologi,Node-GG3F5CZT,10 SMA IPS|Sosiologi,Node-5TQWRSAV#Node-GG3F5CZT
10 SMA IPS,Node-5TQWRSAV,Sejarah,Node-1BAKXDZJ,10 SMA IPS|Sejarah,Node-5TQWRSAV#Node-1BAKXDZJ
10 SMA IPA,Node-5TQWRSAV,PKN,Node-DJQDSZ6R,10 SMA IPA|PKN,Node-5TQWRSAV#Node-DJQDSZ6R
10 SMA IPA,Node-5TQWRSAV,Informatika,Node-4D1Y0ZFF,10 SMA IPA|Informatika,Node-5TQWRSAV#Node-4D1Y0ZFF
11 SMA IPA,Node-G9WNS47V,Matematika,Node-SEY4OCA0,11 SMA IPA|Matematika,Node-G9WNS47V#Node-SEY4OCA0
11 SMA IPS,Node-G9WNS47V,Matematika,Node-SEY4OCA0,11 SMA IPS|Matematika,Node-G9WNS47V#Node-SEY4OCA0
11 SMA IPA,Node-G9WNS47V,Fisika,Node-OHJE9NE9,11 SMA IPA|Fisika,Node-G9WNS47V#Node-OHJE9NE9
11 SMA IPA,Node-G9WNS47V,Kimia,Node-AT9CZ9J3,11 SMA IPA|Kimia,Node-G9WNS47V#Node-AT9CZ9J3
11 SMA IPA,Node-G9WNS47V,Biologi,Node-VK5DWST7,11 SMA IPA|Biologi,Node-G9WNS47V#Node-VK5DWST7
11 SMA IPA IPS,Node-G9WNS47V,Bahasa Indonesia,Node-EHDLY92L,11 SMA IPA IPS|Bahasa Indonesia,Node-G9WNS47V#Node-EHDLY92L
11 SMA IPA IPS,Node-G9WNS47V,Bahasa Inggris,Node-CM71APNV,11 SMA IPA IPS|Bahasa Inggris,Node-G9WNS47V#Node-CM71APNV
11 SMA IPS,Node-G9WNS47V,Ekonomi,Node-Q06MEJ81,11 SMA IPS|Ekonomi,Node-G9WNS47V#Node-Q06MEJ81
11 SMA IPS,Node-G9WNS47V,Geografi,Node-LQUS2KJQ,11 SMA IPS|Geografi,Node-G9WNS47V#Node-LQUS2KJQ
11 SMA IPS,Node-G9WNS47V,Sosiologi,Node-PQ8Q5BFU,11 SMA IPS|Sosiologi,Node-G9WNS47V#Node-PQ8Q5BFU
11 SMA IPS,Node-G9WNS47V,Sejarah,Node-BA4YMZ5U,11 SMA IPS|Sejarah,Node-G9WNS47V#Node-BA4YMZ5U
11 SMA IPA,Node-G9WNS47V,PKN,Node-031D371U,11 SMA IPA|PKN,Node-G9WNS47V#Node-031D371U
11 SMA IPA,Node-G9WNS47V,Informatika,Node-SN85BNCW,11 SMA IPA|Informatika,Node-G9WNS47V#Node-SN85BNCW
12 SMA IPA,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0",Matematika,Node-ZYV3T17S,12 SMA IPA|Matematika,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0#Node-ZYV3T17S"
12 SMA IPS,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0",Matematika,Node-ZYV3T17S,12 SMA IPS|Matematika,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0#Node-ZYV3T17S"
12 SMA IPA,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0",Fisika,Node-IIGQNSVE,12 SMA IPA|Fisika,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0#Node-IIGQNSVE"
12 SMA IPA,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0",Kimia,Node-R8OEV8IJ,12 SMA IPA|Kimia,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0#Node-R8OEV8IJ"
12 SMA IPA,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0",Biologi,Node-Z145AJB0,12 SMA IPA|Biologi,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0#Node-Z145AJB0"
12 SMA IPA IPS,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0",Bahasa Indonesia,Node-P4A59D7H,12 SMA IPA IPS|Bahasa Indonesia,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0#Node-P4A59D7H"
12 SMA IPA IPS,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0",Bahasa Inggris,Node-3D2XSX5H,12 SMA IPA IPS|Bahasa Inggris,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0#Node-3D2XSX5H"
12 SMA IPS,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0",Ekonomi,Node-GPGUC224,12 SMA IPS|Ekonomi,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0#Node-GPGUC224"
12 SMA IPS,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0",Geografi,Node-4RS8U1AH,12 SMA IPS|Geografi,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0#Node-4RS8U1AH"
12 SMA IPS,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0",Sosiologi,Node-3IFT0E7H,12 SMA IPS|Sosiologi,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0#Node-3IFT0E7H"
12 SMA IPS,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0",Sejarah,Node-VXQ2RVGN,12 SMA IPS|Sejarah,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0#Node-VXQ2RVGN"
SBMPTN IPA IPS,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0",Pemahaman Bacaan,Node-AWTEHPTP,SBMPTN IPA IPS|Pemahaman Bacaan,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0#Node-AWTEHPTP"
SBMPTN IPA IPS,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0",Penalaran Umum,Node-LD1Z5SP7,SBMPTN IPA IPS|Penalaran Umum,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0#Node-LD1Z5SP7"
SBMPTN IPA IPS,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0",Pengetahuan Kuantitatif,Node-D6K6CCDA,SBMPTN IPA IPS|Pengetahuan Kuantitatif,"Node-CV03CJIC,Node-V4K4V1DM,Node-OYVT1OP0#Node-D6K6CCDA"
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,|,#
,,,,,#
,,,,,#
,,,,,#
